protected: void __cdecl TArrayTemplate<class CIndexRecord<class NcDbObjectId,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > * __ptr64>::UpdateDelta(void) __ptr64;lcsLibManager.nrx;Exported Function;
protected: void __cdecl TArrayTemplate<class CLibConstraintStructureItem * __ptr64>::UpdateDelta(void) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CAsmLinkCreationContext::CAsmLinkCreationContext(class CAsmLinkCreationContext && __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CAsmLinkCreationContext::CAsmLinkCreationContext(class CAsmLinkCreationContext const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CAsmLinkCreationContext::CAsmLinkCreationContext(class ILibAssembly * __ptr64,class ILibAssemblyLink * __ptr64,class CLibraryObject * __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CIndirectArray<class CIndexRecord<class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > >,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > >::CIndirectArray<class CIndexRecord<class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > >,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > >(__int64,__int64,bool,__int64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CIndirectArray<class CIndexRecord<class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > >,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > >::CIndirectArray<class CIndexRecord<class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > >,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > >(class CIndirectArray<class CIndexRecord<class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > >,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > > const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CIndirectArray<class CIndexRecord<class NcDbObjectId,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > >::CIndirectArray<class CIndexRecord<class NcDbObjectId,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > >(__int64,__int64,bool,__int64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CIndirectArray<class CIndexRecord<class NcDbObjectId,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > >::CIndirectArray<class CIndexRecord<class NcDbObjectId,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > >(class CIndirectArray<class CIndexRecord<class NcDbObjectId,class ATL::CStringT<wchar_t,class StrTraitMFC_DLL<wchar_t,class ATL::ChTraitsCRT<wchar_t> > > > > const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CIndirectArray<class CLibConstraintStructureItem>::CIndirectArray<class CLibConstraintStructureItem>(__int64,__int64,bool,__int64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CIndirectArray<class CLibConstraintStructureItem>::CIndirectArray<class CLibConstraintStructureItem>(class CIndirectArray<class CLibConstraintStructureItem> const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibClassFactoryItem::CLibClassFactoryItem(class CLibClassFactoryItem const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibClassFactoryItem::CLibClassFactoryItem(void) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibConstraintStatus::CLibConstraintStatus(class CLibConstraintStatus const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibConstraintStatus::CLibConstraintStatus(void) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibConstraintStructureItem::CLibConstraintStructureItem(class CLibConstraintStructureItem const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibConstraintStructureItem::CLibConstraintStructureItem(enum CLibObjectConstraint::EType,enum CLibObjectConstraint::EStatus,wchar_t const * __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibConstraintStructureItemsCollection::CLibConstraintStructureItemsCollection(class CLibConstraintStructureItemsCollection const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibConstraintStructureItemsCollection::CLibConstraintStructureItemsCollection(void) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibDBCategoryInfo::CLibDBCategoryInfo(class CLibDBCategoryInfo const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibDBCategoryInfo::CLibDBCategoryInfo(void) __ptr64;lcsLibManager.nrx;Exported Function;
