public: struct IUnknown * __ptr64 __cdecl CEnumVariantImpl::_GetRawUnknown(void) __ptr64,UnitsCSCom.dll,Exported Function
"public: static wchar_t const * __ptr64 __cdecl ATL::CComCoClass<class CoElementStandalone,&struct _GUID const CLSID_Element>::GetObjectDescription(void)",UnitsCSCom.dll,Exported Function
"public: static wchar_t const * __ptr64 __cdecl ATL::CComCoClass<class CMDSObjects,&struct _GUID const CLSID_MDSObjects>::GetObjectDescription(void)",UnitsCSCom.dll,Exported Function
"public: static wchar_t const * __ptr64 __cdecl ATL::CComCoClass<class CMDSNodes,&struct _GUID const CLSID_MDSNodes>::GetObjectDescription(void)",UnitsCSCom.dll,Exported Function
"public: static wchar_t const * __ptr64 __cdecl ATL::CComCoClass<class CEnumVariantImpl,&struct _GUID const GUID_NULL>::GetObjectDescription(void)",UnitsCSCom.dll,Exported Function
public: static struct ATL::_ATL_INTMAP_ENTRY const * __ptr64 __cdecl CoElement::_GetEntries(void),UnitsCSCom.dll,Exported Function
public: static struct ATL::_ATL_INTMAP_ENTRY const * __ptr64 __cdecl CMDSObjects::_GetEntries(void),UnitsCSCom.dll,Exported Function
public: static struct ATL::_ATL_INTMAP_ENTRY const * __ptr64 __cdecl CMDSNodes::_GetEntries(void),UnitsCSCom.dll,Exported Function
public: static struct ATL::_ATL_INTMAP_ENTRY const * __ptr64 __cdecl CEnumVariantImpl::_GetEntries(void),UnitsCSCom.dll,Exported Function
"public: static struct _GUID const & __ptr64 __cdecl ATL::CComCoClass<class CoElementStandalone,&struct _GUID const CLSID_Element>::GetObjectCLSID(void)",UnitsCSCom.dll,Exported Function
"public: static struct _GUID const & __ptr64 __cdecl ATL::CComCoClass<class CMDSObjects,&struct _GUID const CLSID_MDSObjects>::GetObjectCLSID(void)",UnitsCSCom.dll,Exported Function
"public: static struct _GUID const & __ptr64 __cdecl ATL::CComCoClass<class CMDSNodes,&struct _GUID const CLSID_MDSNodes>::GetObjectCLSID(void)",UnitsCSCom.dll,Exported Function
"public: static struct _GUID const & __ptr64 __cdecl ATL::CComCoClass<class CEnumVariantImpl,&struct _GUID const GUID_NULL>::GetObjectCLSID(void)",UnitsCSCom.dll,Exported Function
"public: static long __cdecl CSoidPropertiesCounter::GetSolidBodyProperty(class NcDbObjectId,enum linCSParametricSolidBase::EPropType,struct tagVARIANT,struct tagVARIANT,double * __ptr64)",UnitsCSCom.dll,Exported Function
public: static long __cdecl CoElement::UpdateRegistry(int),UnitsCSCom.dll,Exported Function
